,text,labels
22241,"sei que soa estranho, mas pode vir com uma narrativa, a china tem um remedio melhor que a cloroquina, tipo remedio manipulado na composicao nao mencionado covid- pra comecar o genocidio. ",0.0
5322,espanha supera a china em mortes por coronavirus com . obitos via elpais brasil,0.0
9446,"uma empresa parceira demitiu funcionarios hoje, e conversando com uma colega que ainda trabalha la ela me contou que foi horrivel ver a galera chorando e desesperada, mas por favor nao fale que o covid- e um virus chines pra nao ser xenofobico! viruschines",0.0
10461,"autor skyforc urgente pandemia de coronavirus cresce de forma assustadora na turquia, e o pais de erdogan passou a china no numero de infectados. mesmo assim, analistas afirmam que os numeros do governo nao mostram a realidade. ",0.0
616,china anuncia mais mortos por coronavirus ,0.0
16534," irnecezar ela q inventou o ultimo audio... melancias contaminadas com covid importadas da china, eu concluo, cujo virus foi plantado nelas por ciganos de cuba financiados pelo soros",0.0
1718,"o brasil tem que ficar em alerta e o ministerio da saude redobrar a atencao, em especial no q tange ao numero leitos de uti, o q esta acontecendo na italia e mt serio. a china so conseguiu conter o coronavirus pq e a china. coronavirusnobrasil covid ",0.0
12835,"claro! fiesp ! empresarios! parem de importar produtos chineses. eu nao compro nada mais que seja made in china . china encobriu coronavirus para estocar suprimentos medicos, revelam documentos da inteligencia americana ",1.0
7572,"china registra primeiro dia sem novas mortes por coronavirus segundo dados da comissao nacional de saude, o pais contabilizou apenas novos casos importados da covid- coronavirus ",0.0
16547," mariel ortiz leoncimo alexandrebuaiz arthurmoledoval - nao fiz comparacao com covid. voce perguntou sobre uso profilatico. se quis limitar ao virus chines, foi desonesta, pois todo mundo saber que para isso e necessario meses ou anos de pesquisa tempo que nao existe nesse caso. - pare de tentar justificar seu erro. esta feio.",0.0
9822," aalonsosergio marcusacp o antagonista ninguem sabe o que china fez com seus cidadaos para garantir o lockdown em hubei, os dados divulgados nao sao confiaveis, logo o grau de infeccao e letalidade realmente da covid sera aquele feito com dados de pais livres.",0.0
18955,"na cabeca dele o virus foi implantado propositalmente pela china, nao tem ninguem morrendo, as poucas pessoas q estao morrendo ele acha q morreu de outra coisa e colocaram como covid no atestado de obito. que a prefeitura esta ganhando dinheiro cada vez que alguem morre etc ....",0.0
14107,"cidade de wuhan, na china, volta a registrar caso de coronavirus apos mais de um mes ",0.0
719," tkscenary paidotomaslol miller aguiar sougusgazito g pela logica, o coronavirus veio da china, o cara e de cingapura entao sim e racismo",0.0
3208," renovamidia o covid- foi criado nos laboratorios de wuhan, china. pra que mesmo ?",0.0
15720,china oferece . milhoes de dolares ao combate mundial a covid- ,0.0
23251,para tem mais casos de covid- confirmados do que na china,0.0
10267, cnn jairbolsonaro mascaras da china ?! a covid- esta pior nos eua porque utilizaram produtos chineses ! armadilha ?!? talvez jairbolsonaro exercitooficial,0.0
12850,"governo comunista chines gerou coronavirus, mentiu e pessoas morreram !!! china gerou coronavirus, mentiu e pessoas morreram, diz assessor de comercio da casa branca via revistaoeste",0.0
11762,trump culpa china por propagacao do coronavirus e diz que eua estao investigando mundo g ,0.0
14247,"em video de reuniao, bolsonaro culpa a china pelo coronavirus ",0.0
10951,"coronavirus ja se transformou em cepas, dizem cientistas chineses via tilt uol uol",0.0
4971,coronavirus e invencao de aliens reptilianos e eis a prova se fosse real se chamaria colonavilus ja que veio da china,0.0
19475, ronaldomoscou porque o brasil nao envia cobranca de bilhoes de euros a china por danos pelo coronavirus!,0.0
1112,so lembrando que a china tinha menos de casos de coronavirus ha mes e meio atras. e que varios paises tao nesse ponto agora. esse e o potencial pro qual temos que nos preparar ,0.0
11670,pandemia - brasil supera china e chega a . mortes por coronavirus,0.0
4359,"culpar a china pelo coronavirus e idiotice total, todos sabemos que na verdade e culpa dos aliens, que so estao testando a humanidade numa prova de civilizacao avancada ii",0.0
3110,china teve mais de mil casos do coronavirus. o ... andrew amaurick ,0.0
20912, erivelto netto a china deu o covid- ! ,0.0
22154, gleisi ah o coronavirus....sim....o virus chines....o fique em casa...entendemos o recado....nao cola mais,1.0
12243,"-lembra quando frase falsa da lispector e do caio fernando abreu era o que a gente tinha de noticia falsa? -ah sim, que saudade, e cade o joao? -foi linchado ontem, espalharam que ele era espiao a mando da china para espalhar covid- na caixa d agua da creche",0.0
24100, gazeta brasil isso e que falta para detonarmos com a covid. ouvir o que da certo e desligar a globo lixo e outros canais que querem trazer o caos social e economico. ibaneis pareece estar alinhado com china e globalistas,0.0
11124,"politicos dos eua estao considerando uma acao legal contra a china por mortes de covid- , chamando-os de assassinatos . eles fazem isso enquanto escalam sancoes brutais e jogam bombas em paises afetados pelo virus. lembre-me de novo, quem e o assassino aqui? ",0.0
997,"com a retracao das atividades economicas na china, o surto de covid- reduziu as emissoes mais rapidamente do que anos de negociacoes climaticas. ha quem veja ai a confirmacao de que seria possivel conter a producao global em favor do clima. ",0.0
5193,china e inocente onu e organizacao mundial da saude rejeitam a alegacao que ela lancou a pandemia do coronavirus. ,0.0
18083," andrehenning darciocrf jaja a policiafederal chega ai em sp e vai igual no rio,que desmorerram mais de . pessoas pelo covid. tem morte pelo virus chines,infelizmente tem,so q a ganancia desse governador e muito maior q tudo isso. jaja a cada dele cai ai em sp.",0.0
9756,"nao pode contestar, criticar ou acusar a china... alguns dizem. eua investigam possibilidade de o novo coronavirus ter vazado de laboratorio chines china diz que trump quer confundir o publico coronavirus g ",0.0
11764,covid- - brasil supera a china em mortos . bo - - ,0.0
1783,"em pouco mais de um mes, a china registrou o tratamento de mil toneladas de residuos medicos decorrentes da luta contra o novo coronavirus. no inicio de marco, a capacidade de processamento de lixo hospitalar do pais atingiu . , toneladas por dia. ",0.0
2997,"so pegou coronavirus quem viajou pra italia ou china, se voce viajou pra alcantara, no maximo que voce pegou foi panfletos de dentista.",0.0
2176,"branco que acha q o mundo vai acabar por causa do covid- pq isso ja instigou uma birra no petroleo, a china vai parar o mercado internacional e isso tudo vai quebrar os estudunidense e se la e a capital do mundo entao o fim dos tempos chegou epassetomanocu",0.0
16317,coronavirus e a primeira coisa made in china que ta durando mais de um mes....,1.0
12204," antonio gava leobaimler johnpicanco ademirpech nettocnn sim paulo freire, a china e pablo vittar, esses que criaram o covid e tao mandando tu ficar em casa, se tu eh contra vai na rodoviaria lamber o corrimao la, e depois que pegar n vale ir pra hospital hein, enfia cloroquila e reza pro mito ",0.0
13900,"coreia do norte afirma nao ter casos de coronavirus, porem china oferece suporte no combate contra a pandemia ",0.0
7091," atraves da cooperacao china-brasil no combate ao covid- .a china nunca quis e nem quer criar inimizades com nenhum pais. no entanto, se algum pais insistir em ser inimigo da china, nos seremos o seu inimigo mais qualificado! felizmente, mesmo com todos os seus insultos a",0.0
8730, paulomathias a nao ser que voce esteja falando de outra teoria da conspiracao que circula entre olavistas. qual delas? a de que nunca ninguem morreu do novo coronavirus? a de que a china controla a organizacao mundial da saude? a de que o governo chines financia seu ex-amigo jdoriajr?,0.0
2883,"a china cria o monstro chamado coronavirus e perde o controle sem querer da criacao. depois ganha trilhoes com a quebra das bolsas, compra alimentacao para seu povo com valores reduzidos e barris de petroleo por preco de banana. apos golpe da guerra biologica quimica ...",0.0
15393," fepaesleme ha algumas opcoes venezuela , um pouco mais longe cuba ou do outro lado do mundo, onde foi criado o virus covid- china . pode escolher, belezura!",0.0
17248," ricksenra voce n deve ter feito esse levantamento nesses veiculos nos meses passados, mas em fevereiro china estava trending no mundo inteiro. depois foi italia em marco. depois foi espanha ainda em marco. depois foi usa em abril. agora e brasil em maio. covid- e trending no mundo todo!",0.0
3382,"first in, first out. china reduz casos do novo coronavirus e tenta retomar rotina ",0.0
6858,"gente que parada sinistra e essa dos paises roubando as cargas uns dos outros de materiais para ajudar no covid- eu to chocada, eua roubando carga de todo mundo na china",0.0
10378,china casos . mortes . curados . !!mortalidade . testes feitos indisponivel,0.0
13926,"o pais perdeu brasileiros nas ultimas horas, recorde desde o comeco da pandemia. ja temos o dobro de mortes da china, com quase mil obitos. cidade de guarulhos guarulhos chama o alexbueno sp saopaulo brasil coronavirus pandemia saude",0.0
7108," paulhunghk as mascaras fabricadas na china nao sao apropriadas, conforme o informacoes seus testes rapidos estao contaminados com o coronavirus, entao que exigencia e essa recusem as mascaras recusem os testes rapidos recusem tudo que vier deste pais!!!!!!!!!!",0.0
19465,covid- ultimos ventiladores da china chegam segunda-feira. embaixador diz que processo foi exemplar ,0.0
17911,"donald trump, disse nesta a feira q esta encerrando relacoes com a organizacao mundial da saude oms e fez criticas a forma c a qual o orgao lidou com a pandemia de covid- e o papel da china no organismo. ",0.0
3196,coronavirus e sopa de morcego ? teoria de conspiracao e fake news se espalham com avanco de surto bbc news brasil ,0.0
4479," veramagalhaes se o pr jairbolsonaro estivesse fechado todas as fronteiras maritimas, aereas e terrestre.. isolando o brasil do mundo externo.. logo quando o coronavirus comecou a se proliferar na china.. vc estaria criticando ele da mesma forma.. chamando-o de fascista e ditador.. etc..",0.0
12430,assisti o explicando da netflix sobre o covid- ontem. serie americana e foda ne nem citaram o vietna que teve mortes pelo virus mas deram uma jogada de culpa na china.,0.0
8415,covid- china volta a nao registar qualquer morte nas ultimas horas ,0.0
19318,bolsonaro tenta imitar trump em todos os sentidos a fixacao pela cloroquina veio de la assim como os ataques contra a china e a cruzada contra a midia poderia imita-lo de novo e admitir que estava completamente errado sobre o covid- nao e so uma gripezinha trumpcomunista,0.0
21658,importadores chineses de carne temem problemas com exigencia de testes de covid- em porto ,0.0
9071,"mandettinha na reta da linha. bozo sendo bozo e gado sendo gado, mas e so gripezinha . bolsomerda, . mas parece que os chineses tramaram tudo. carlos bolsobosta, e a covid se espalhando... final de semana bozo sai para apertar a mao dos patriotas . acorda brasil!",0.0
23065," niteroi hrs carlosjordy mal e pre-candidato e ja esta chamando coronavirus de peste chinesa . denunciei, vamos ver o que o twitter fara. ah, tb defende ataques ao stf.",0.0
5110,dai voce sobrevive ao covid- e a china lanca um covid- s plus,0.0
20046," jairbolsonaro o coronavirus nasceu na china, cresceu na italia, estudou na franca, fez pos na espanha, doutorado nos estados unidos e veio pro brasil fazer politica no governo bolsonaro.",0.0
13917,"bolsonaro, investigar se e verdade, o presidente da tanzania fez testes p coronavirus, obs testes chineses, em quatro ele colocou cenoura, oleo de carro, sangue de cordeiro, todos deram positivos.",0.0
17105, ladygaga lady gaga matou o morcego que causou o coronavirus ,0.0
12767, maringateytey pior que covid e essa raca que apoia coisas ridiculas achando que o virus e coisa de china acabando com o pais,0.0
16717," anaamvs sanches screwballbeurl globonews o ainda bem que a natureza criou o coronavirus e o real desejo do lula, que o virus mate milhoes de pessoas, para provar que o estado tipo papa fidel impediria a pandemia, mas nao esqueca... o virus e comunista, veio da china.",0.0
10519, buzeto anamariarezen comprovado! a china poderia ter evitado a pandemia de coronavirus e nao o fez. ,0.0
3491,coronavirus china envia um milhao de mascaras para a franca ,0.0
16813,"o laboratorio de virologia em wuhan trabalhava em tres linhagens de coronavirus de morcego, mas nenhuma delas corresponde a que causou a pandemia do covid- , diz o diretor. ",0.0
2545,"criancas ficam pouco doentes, mas sao vetores de doenca. desde o inicio da epidemia, na china, quase nao houve casos de criancas infectadas com o coronavirus. saiba mais ",0.0
8362,policia prende chineses vendendo testes para coronavirus de carga roubada em sp ,0.0
17102,coronavirus china tem tres vacinas na segunda fase de testes clinicos covidboas,0.0
23776," elizianegama verdade! porem o virus chines covid , nao pode ser usada tb p fins eleitorais e desvio do dinheiro publico!",1.0
16075,novo surto na china da sinais de que coronavirus pode estar em mutacao ,0.0
17617, senadofederal aquele que se contradiz com toda informacao que da? que cada mes muda a retorica e que ajudou a china a esconder o covid- do mundo??? sei....senado ta muito mal de compania mesmo...tudo que nao presta vcs gostam...impressionante....dispenso.,0.0
13851,nao e surpresa que haja uma grande diferenca entre china e eua no combate a covid- ! ,0.0
13676,prefeito nos eua diz ter contraido covid- em novembro e china sugere nova origem do virus - ,0.0
6119,cautela china nao permite reinicio de competicoes por temor a nova onda de coronavirus ,0.0
12124,"urgente e dai? a gripezinha , ontem passou a china em numeros de mortos. . agora passou tambem em numeros de infectados. . brasil ocupa o deg lugar no ranking do coronavirus, tendo o deg caso, um mes depois dos lideres. todosporforabolsonaro ",0.0
18953,china nega que tenha atrasado liberacao de informacoes sobre covid- a oms ,0.0
19493,"assim, geraria apenas machos!! voltando ao covid- , como o zero tres fala, virus chines, parenteses, ele e calvo!! e teu?! se fosse eu, faria exame de dna!! convenhamos, ne, esses seus asseclas tambem sao machos!! levantam bandeiras pelo ai- , mesmo nem sabendo o que era!!",0.0
3799,"o presidente e sua familia sao os unicos que nao entenderam a necessidade de uniao neste momento. enquanto o mundo busca solucoes coletivas para o coronavirus, os bolsonaros parecem mais preocupados em encontrar um inimigo para culpar, seja ele a china, a imprensa ou a esquerda.",0.0
4047," hevertonfutebol qual a estatistica de mortes por coronavirus no brasil? este virus e sensivel ao calor? ele se adapta ao climas abaixo do tropico? porque o remedio da malaria segundo eua e propicio para combater este virus, malaria e proprio do clima umido. qual o clima da china?",0.0
17074,"mike pence, vice-presidente dos estados unidos, afirmou, neste domingo , que a china decepcionou o mundo por causa da gestao da pandemia de coronavirus. ",0.0
6015," o antagonista deixemos o coronavirus de lado um pouco e vamos atentar para o que a china esta fazendo no brasil. possui maior parte das usinas hidreletricas do pais, das usinas eolicas, comprou a band , investiu na globolixo, comprou silos no parana e esta dando calote nos produtores",0.0
19992,"no comeco dessa thread eu disse sobre este homem estar relacionado a pandemia do covid- . rodrigo viaja muito com o pai, que e empresario e antes de eu conhece-lo ele tinha passado uns meses viajando pelo mundo, passou pelos eua, reino unido, franca, italia, china... ",0.0
17756," debatendomuros vasilva kiki libano ricettirogeria simiao c lets dex jairbolsonaro botsentinel vasilva vamos la, sem zapismo. a china foi o primeiro pais no mundo a ter a covid- . se ate hoje no brasil, apos quase meses do primeiro caso nao sabemos o que fazer, imagina com ou dias de estudo, sem historico da doenca. vc mesmo disse que a ciencia tem vertentes.",0.0
17040,"apos uma teleconferencia com especialistas chineses em de marco, a costa rica foi o primeiro e unico pais da america central a adotar imediatamente hidroxicloroquina contra o covid. a divergencia resultante do curso da pandemia se torna mais espetacular dia apos dia. ",0.0
15293," futuro longinquo nao tem registos de praticamente nada, parece um ano fantasma ha muitos anos atras, tudo comecou quando os chineses decidiram encobrir uma doenca provocada por um virus chamado covid- ",0.0
6068,covid- china regista novos casos de infecao vindos do exterior - ,0.0
18189, revistaoeste duvido esses procuradores que usam hospital particular vao se recusar usar a cloroquina se forem infectados pelo virus chines o tal covid ,0.0
14202,new post in wisir research investimentos e mercado de acoes o banco popular da china pboc disse que o pais enfrenta desafios economicos sem precedentes com a pandemia de coronavirus e recorrera a politicas mais poderosas para combater o impacto no... ,0.0
23351," pndcn coronavirus e invencao da china pra ficar mais rica, eu confio no mito",0.0
9477,"postei que ja havia estranhado mais cedo ao ver a china , do nada, em horas, reportar . mortes devido a covid- . pois agora pirou , pois autoridades de saude de wuhan agora afirmam que nao sao mortes e sim mortes. a justificativa e sobrecarga do sistema. ",0.0
5520," itsyaramadly se o vetor e da china, porque nao conseguiram rastrear a tempo. o prefeito de wuhan ja se desculpou por nao ter acreditado, mas se perdeu muito tempo ate entao. alguns dados informam que o covid- iniciou-se em meados de novembro do ano passado.",0.0
1901,"comeca hoje em novo hamburgo a fimec, uma das maiores feiras de maquinas e componentes para couro e calcado no mundo. cuidado redobrado na limpeza dos ambientes. visitantes chineses e europeus nao vieram por causa do coronavirus jornalnh ",0.0
8249, as coisas que a covid nos fez enxergar ... - o estados unidos nao e mais o lider mundial ... - a china venceu a terceira guerra mundial sem disparar um missil e ninguem percebeu... ,0.0
1234," - ha um interesse por tras disso tudo. foram os americanos... , a industria farmaceutica... , a midia... , a china !!! ... . sendo minimizado, o coronavirus em si e o menor dos problemas. a questao e quem supostamente o causou ou esta ganhando com essa situacao.",0.0
2777, itimaliasof aylagrandez eu vi no jornal um caso na china que registrou o primeiro pet dog com coronavirus a dona dele morreu por conta do coronavirus e ela que teria transmitido para o cachorro,0.0
5323,to comecando a gostar desse tal virus chines. ate que em fim o coronavirus fez um coisa boa. o trafico ta com mais moral que o wilsonwitzel . ,0.0
12779,covid- - estados unidos ameacam retaliar china por coronavirus com novas tarifas comerciais ,0.0
355,"governo isola pessoas suspeitas de contaminacao vindas da china numa base militar, porem libera no primeiro dia um brasileiro diagnosticado com coronavirus para tratar em casa. vizinhanca pira!",0.0
22222,china casos . mortes . curados . !!mortalidade . testes feitos indisponivel coronavirus,0.0
18118,estado do rio ultrapassa a china com mais de mil mortes por covid- via esquerdadiario,0.0
20413,doria anuncia producao de vacina contra covid- em parceria com a china ,0.0
16818," hamilton raposo felipeccamarao nao e porque a infeccao caiu de para que vamos reabrir, porque ainda e alto. quando tem uma queda igual a que aconteceu na china, exemplo, de para durante um tempo razoavel e que da para pensar em retornar aulas, mas nao esquecamos que a covid- deixa sequelas.",0.0
9984,esse coronavirus vai trazer importantes debater para o capitalismo e modernizacao das linhas de producao. nao e mais eticamente aceitavel o financiamento de uma ditadura que comete crimes contra humanidade porque o china aceita ser um semi-escravo.,0.0
13584,minha avo acredita que o coronavirus e uma invencao dos comunistas pra china ganhar dinheiro... ,0.0
8516," leandroruschel hj em sp prenderam chineses que roubaram milhares de testes covid- e milhoes de mascaras do aeroporto de guarulhos!!! os caras criam o virus, espalham, da producao medica em funcao do virus e deles, portando, todos compram da china e o ciclo se reinicia ja que eles roubam!",0.0
15860,um laboratorio com sede na china afirma que esta desenvolvendo um tratamento capaz de interromper a pandemia de coronavirus.,0.0
16428,"recomendacao para lavar as maos sempre que tocar em possiveis objetos contaminados permanece. o governo dos estados unidos declarou, nesta quarta-feira , que o coronavirus nao se espalha facilmente por tocar superficies ou objetos brasil eua coronavirus china ",0.0
19102," youranonbrasiil provavelmente vcs nao irao responder, mas, tem alguma chance do covid- ter sido criado em laboratorio pelo chineses ?",0.0
14414,ja estao preparando novo panico mundial para substituir o coronavirus. realmente a china tem alta tecnologia e sempre sai na frente! ,0.0
17050, carlosbolsonaro agoranoticiasbr no para foram muitos milhoes jogados fora em respiradores comp. da china que nao servem pra nada! como um governador experiente se deixa enganar ? helder barbalho vai devolver esse dinheiro? vai ficar na conta do covid? sao muitos os que faturaram com a desgraca dos outros,0.0
6376, andradejpaulo o eduardo bolsonaro dinamitou a ponte com os chineses.agora quem vai vender e entregar insumos para o combate ao covid ?,0.0
9205," dilmabr absurdo e contribuir para uma instituicao que demora a tomar as atitudes necessarias, protege a china e errou drasticamente no caso do coronavirus.",0.0
5532," sexualinatural mildreddedappe flaviodino a diferenca e que coronavirus e um virus e contamina todos. se fosse pra nao ligar pra coronavirus a china, italia, alemanha etc. ia continuar trabalhando e deixando as pessoas morrer sem se importar com o coronavirus. entao e aceitar que as pessoas morra pegando a doenca?",0.0
7645," saralaurian para saber real situacao covid proprio google so passar o mouse em cima do pais que ja acusa, e detalhe paises ao lado da china, mortes - mongolia - ve russia , incrivel, ",0.0
10388,"do magnifico pepe escobar, do asia times se voce acha que as agencias de inteligencia dos eua nao viram, em de janeiro, o diario do povo da china falando ao mundo sobre o covid, fique a vontade para comprar as armas de destruicao em massa de saddam no wallmart mais proximo .",0.0
2612," narwkami voce nao ta reclamando que a china ta ajudando a italia e nao o brasil no caso do coronavirus alegando que a italia e desenvolvida e nao precisa de ajuda, tho",0.0
3169," na semana passada, vimos uma rapida escalada de casos de covid . mais casos e mortes foram relatados no resto do mundo do que em china - drtedros coronavirus",0.0
8793, novodia e verdade que a china esta restringindo a divulgacao de trabalhos sobre covid- que foi noticia hoje pela manha neste canal?,0.0
15517," leocava stephenkanitz ninguem duvida o virus chines ja se nacionalizou , mas os numeros sao suspeitos! pelo comparacao de mortes entre x por pneumonia se mantinha equivalente ate fim de marco. em , meses, temos mortes a menos de pneumonia e covid! sera?",1.0
18567," caio br micheldutrac hmcpedro janainadobrasil entao pq a china mandou carregamento para russia sua aliada?vc sabia que o redesevir foi patenteado pela china no uso do covid pesquise depois de usar a cloroquina que e barata quer vender o deles que custa muito mais esta tudo ai pesquise,mais a fundo nao pela midia barata!",0.0
15782,"china anuncia ajuda de r , bilhoes para combate a pandemia de covid- clique ",0.0
10957,"comparacao entre coronavirus e o monstro de ozymandias em watchmen nao e completa pois o monstro e alienigena . aqui, ainda botam o virus na conta da china, fomentando a divisao planetaria. se o virus fosse alien, voce se juntaria aos comunistas para combate-lo? ",0.0
11143," fala brasil em atencao a reportagem da antartida, entendo que o coronavirus ainda nao chegou la, nao e por conta do isolamento, e sim porque nao teve acesso de chineses infectados.",0.0
5890," o antagonista oms, aquela que dizia que segundo estudos chineses o coronavirus nao tinha transmissao de humano para humano dia de janeiro?",0.0
16576," atencao, mulher faz revelacao chocante e e ameacada de morte. nao usem mascaras, nao coma melancias, e tudo um golpe para nos contaminar com covid- nao vamos entregar nosso pais para a china, vamos ficar em defesa do nosso lider jair messias bolsonaro ",0.0
11298,"coronavirus nasceu na china, cresceu na italia, fez poz graduacao na espanha. fez doutorado -nos eua e virou politico no brasil!",0.0
19098,brasil fracassa no covid pois governo atravanca respostas da sociedade organizada. pedir auxilio internacional ue china ,0.0
1386,meu deus! hotel que tinha sido adaptado para receber suspeitos com coronavirus na china desaba! tragedia em cima de tragedia! humanidade sob sombras,0.0
12123," ruansdias elogomes bastidoresfla china nos casos de covid? oq vc acha disso presidente? em tom de deboche. todos sabemos que nao da pra confiar nos numeros da ditadura chinesa. perturbaram ele a semana passada toda com isso, ignoram o numero de recuperados, ignoraram a responsabilidade da china e do governo ",0.0
18158," rconstantino vivi jacobina essa oms e a maior vergonha, igual aqueles que a seguem fielmente aqui no brasil, errou em todas decisoes no combate ao covid- , com o intuito de apoiar a china .",0.0
8000, giovane central esse morcego espalhou o coronavirus e agora ta arrependido,0.0
13943, maiavictor osmarterra cloroquina esta sendo proibida pelos governadores genocidas.. se tivessem usado pode ter certeza que a morte por virus chines seria quase zero .. enquanto isso outros paises estao usando e diminuindo ate mesmo zerando a morte por covid- . lute a favor do brasil.,0.0
12256,"mais de corpos ensacados fora da geladeira no hospital salgado filho, necroterio lotado, corpos saindo em massa dentro de um frigorifico... brasil passou a china no numero de mortos por covid- . que horas a galera vai acordar???? e assustador o rumo que isso ta tomando!!!!!!",0.0
16043," carlosjordy to rindo da declaracao do lula achando bom a natureza china ter criado o coronavirus e dizendo que o estado e a solucao para o caos. tudo pelo estado,.nada contra o estado. nada fora do estado. ",0.0
12726,vai ser dificil as nacoes que foram devastadas economicamente e tiveram parte da populacao dizimada nao entrar pedindo indenizacao. devastated nations should sue china trillion for coronavirus economic disaster think-tank news lifesite ,0.0
10970,coronavirus vacina em teste protege macacos na china via midiamaxnews,0.0
11200,otima noticia! equipamentos medicos chegam ao nosso pais ceara para ajudar na luta contra a covid- . arronave veio da china e fez escala na afica para fugir da alfandega na europa e estados unidos. fiqueemcasa ficanacasa ,0.0
12625, jairbolsonaro sem nenhuma empatia pelas vitimas do covid quando informado que o brasil superou a china em numero de mortes por coronavirus. eu sou messias mas nao faco milagres. bolsonarogenocida bolsonaroenlouqueceu bolsonaroacabou ,0.0
6037,"numero de mortos nos estados unidos ultrapassa o numero de chineses mortos pelo coronavirus. enquanto os norte-americanos sao milhoes de pessoas, os chineses quase , bilhao,",0.0
12425," devido ao tamanho da queda da nossa moeda de cima do podio motivos inseguranca politica, criticas da onu, fala agressiva, covid, atrito com franca e china e seu gabinete de odio o nivel de desordem e tao bizarro que ate os corruptos de estimacao tao preferindo a rua vazia",0.0
13302," joicehasselmann jairbolsonaro nao entendi. falar da reportagem da folha sobre exaltando a china como exemplo de combate a covid- ? e isso? se for pelo cala a boca , peco que repense como voce chama aqueles que nao concordam com voce, penso que tem o mesmo comportamento. abraco cara colega.",0.0
23402, g o curioso caso do morcego q pegou covid- por ter mordido um ser humano infectado,0.0
20474," fabioing carlosjordy as informacoes correm na velocidade da luz, entrei aqui p ver sobre esta vacina do covid do doria e a china em sp q acho, suspeitissima e ja fico sabendo dessa tucaina q e amiguinha da peppa... q sujeira hein? janainadobrasil e joicehasselmann vergonhas!!!",0.0
4440,china testa vacina contra o novo coronavirus com voluntarios - cartacapital ,0.0
16892," juuh greicyb yunnes marcelo luizgfontes carlazambelli kimpkat covid- ano passado destruindo a china, e ja adentrando em outros paises! e o brasileiro fez o que em fevereiro ? carnaval. nao ficou em casa! os estados pensaram em lucrar e abriram as portas dos seus aeroportos para receber varios estrangeiros. agora aguentem!",0.0
